subset_ID,data_type,facies_suit_proportions_type,case_study_ID,cs_age_from,cs_age_to,system_ID,sys_age_from,sys_age_to,sand_fraction,sys_gs_category,age,epoch,period,era,start_ma,end_ma,climate
1,"high resolution 2D seismic,sonar imaging,bathymetry,core","type,grain size,general structures",1,2,1,1,2,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse
36,"high resolution 2D seismic,sonar imaging,bathymetry,core","type,grain size,general structures",1,2,1,1,2,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse
66,"high resolution 2D seismic,sonar imaging,bathymetry,core","type,grain size,general structures",1,2,1,1,2,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse
2,outcrop,"type,grain size,general structures,laminations",2,65,65,2,65,65,1,sandy system,Bashkirian,Lower Pennsylvanian,Carboniferous,Paleozoic,323.2,315.2,icehouse
160,outcrop,"type,grain size,general structures,laminations",2,65,65,2,65,65,1,sandy system,Bashkirian,Lower Pennsylvanian,Carboniferous,Paleozoic,323.2,315.2,icehouse
4,outcrop,"type,grain size,general structures,laminations",4,126,126,4,126,126,1,sandy system,(Guadalupian),Guadalupian,Permian,Paleozoic,273.01,259.51,icehouse
10,outcrop,"type,grain size,general structures,laminations",8,143,143,5,143,143,0.781029,gravelly-sand system,(Neo-proterozoic),-,-,Neo-proterozoic,1000,541,uncertain
19,outcrop,"type,general structures,laminations",13,28,24,10,25,24,0.4689274,gravelly system,Campanian,Upper Cretaceous,Cretaceous,Mesozoic,83.6,72.1,greenhouse
20,outcrop,NA,13,28,24,10,25,24,0.4689274,gravelly system,Campanian,Upper Cretaceous,Cretaceous,Mesozoic,83.6,72.1,greenhouse
21,"high resolution 2D seismic,bathymetry,core","type,grain size,general structures,laminations",14,1,1,11,1,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse
27,"conventional 3D seismic,wireline log,core","type,grain size,general structures,laminations",17,7,112,14,115,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse
38,outcrop,"type,grain size,general structures,laminations",18,28,24,10,25,24,0.4689274,gravelly system,Campanian,Upper Cretaceous,Cretaceous,Mesozoic,83.6,72.1,greenhouse
41,outcrop,"type,grain size,general structures,laminations",19,18,16,15,115,16,0.8027159,gravelly-sand system,Priabonian,Eocene,Paleogene,Cenozoic,37.71,33.9,greenhouse
42,outcrop,"type,grain size,general structures,laminations",19,18,16,15,115,16,0.8027159,gravelly-sand system,Priabonian,Eocene,Paleogene,Cenozoic,37.71,33.9,greenhouse
43,outcrop,"type,grain size,general structures,laminations",20,9,7,16,9,7,0.7282256,gravelly-sand system,Zanclean,Pliocene,Neogene,Cenozoic,5.33,3.6,icehouse
100,outcrop,NA,100,126,126,4,126,126,1,sandy system,(Guadalupian),Guadalupian,Permian,Paleozoic,273.01,259.51,icehouse
101,outcrop,"type,grain size",101,56,56,4,126,126,1,sandy system,(Guadalupian),Guadalupian,Permian,Paleozoic,273.01,259.51,icehouse
102,outcrop,"type,grain size,general structures,laminations",102,24,23,100,24,23,0.5209574,gravelly-sand system,Maastrichtian,Upper Cretaceous,Cretaceous,Mesozoic,72.1,66,greenhouse
103,outcrop,"type,grain size,general structures",102,24,23,100,24,23,0.5209574,gravelly-sand system,Maastrichtian,Upper Cretaceous,Cretaceous,Mesozoic,72.1,66,greenhouse
104,outcrop,"type,grain size,general structures,laminations",103,143,143,5,143,143,0.781029,gravelly-sand system,(Neo-proterozoic),-,-,Neo-proterozoic,1000,541,uncertain
112,outcrop,"type,grain size,general structures,laminations",107,143,143,5,143,143,0.781029,gravelly-sand system,(Neo-proterozoic),-,-,Neo-proterozoic,1000,541,uncertain
113,outcrop,"type,grain size,general structures,laminations",108,15,15,210,17,15,0.971341,sandy system,Rupelian,Oligocene,Paleogene,Cenozoic,33.9,27.82,icehouse
114,outcrop,"type,grain size,general structures,laminations",108,15,15,210,17,15,0.971341,sandy system,Rupelian,Oligocene,Paleogene,Cenozoic,33.9,27.82,icehouse
115,outcrop,"type,grain size,general structures,laminations",108,15,15,210,17,15,0.971341,sandy system,Rupelian,Oligocene,Paleogene,Cenozoic,33.9,27.82,icehouse
116,high resolution 2D seismic,NA,109,113,1,14,115,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse
117,high resolution 2D seismic,NA,109,113,1,14,115,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse
118,high resolution 2D seismic,NA,109,113,1,14,115,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse
119,high resolution 2D seismic,NA,109,113,1,14,115,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse
120,high resolution 2D seismic,NA,109,113,1,14,115,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse
121,high resolution 2D seismic,NA,109,113,1,14,115,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse
122,high resolution 2D seismic,NA,109,113,1,14,115,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse
123,high resolution 2D seismic,NA,109,113,1,14,115,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse
124,high resolution 2D seismic,NA,109,113,1,14,115,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse
125,high resolution 2D seismic,NA,109,113,1,14,115,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse
126,high resolution 2D seismic,NA,109,113,1,14,115,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse
127,high resolution 2D seismic,NA,109,113,1,14,115,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse
128,high resolution 2D seismic,NA,109,113,1,14,115,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse
129,high resolution 2D seismic,NA,109,113,1,14,115,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse
130,high resolution 2D seismic,NA,109,113,1,14,115,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse
131,high resolution 2D seismic,NA,109,113,1,14,115,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse
132,high resolution 2D seismic,NA,109,113,1,14,115,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse
133,high resolution 2D seismic,NA,109,113,1,14,115,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse
134,high resolution 2D seismic,NA,109,113,1,14,115,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse
135,high resolution 2D seismic,NA,109,113,1,14,115,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse
137,outcrop,NA,111,143,143,5,143,143,0.781029,gravelly-sand system,(Neo-proterozoic),-,-,Neo-proterozoic,1000,541,uncertain
138,outcrop,NA,112,58,55,107,58,55,1,sandy system,Capitanian,Guadalupian,Permian,Paleozoic,264.28,259.51,icehouse
139,outcrop,NA,112,58,55,107,58,55,1,sandy system,Capitanian,Guadalupian,Permian,Paleozoic,264.28,259.51,icehouse
140,outcrop,NA,112,58,55,107,58,55,1,sandy system,Capitanian,Guadalupian,Permian,Paleozoic,264.28,259.51,icehouse
143,outcrop,"type,grain size,general structures,laminations",113,18,16,108,115,115,0.8777629,gravelly-sand system,(Eocene),Eocene,Paleogene,Cenozoic,56,33.9,greenhouse
144,outcrop,"type,grain size",113,18,16,108,115,115,0.8777629,gravelly-sand system,(Eocene),Eocene,Paleogene,Cenozoic,56,33.9,greenhouse
145,outcrop,"type,grain size",113,18,16,108,115,115,0.8777629,gravelly-sand system,(Eocene),Eocene,Paleogene,Cenozoic,56,33.9,greenhouse
146,outcrop,"type,grain size",113,18,16,108,115,115,0.8777629,gravelly-sand system,(Eocene),Eocene,Paleogene,Cenozoic,56,33.9,greenhouse
147,outcrop,"type,grain size",113,18,16,108,115,115,0.8777629,gravelly-sand system,(Eocene),Eocene,Paleogene,Cenozoic,56,33.9,greenhouse
148,outcrop,"type,grain size",113,18,16,108,115,115,0.8777629,gravelly-sand system,(Eocene),Eocene,Paleogene,Cenozoic,56,33.9,greenhouse
158,outcrop,NA,118,113,113,16,9,7,0.7282256,gravelly-sand system,Zanclean,Pliocene,Neogene,Cenozoic,5.33,3.6,icehouse
159,outcrop,NA,119,126,126,4,126,126,1,sandy system,(Guadalupian),Guadalupian,Permian,Paleozoic,273.01,259.51,icehouse
161,"core,outcrop","type,grain size,general structures,laminations",120,125,125,107,58,55,1,sandy system,Capitanian,Guadalupian,Permian,Paleozoic,264.28,259.51,icehouse
162,"core,outcrop",NA,120,125,125,107,58,55,1,sandy system,Capitanian,Guadalupian,Permian,Paleozoic,264.28,259.51,icehouse
163,"core,outcrop",NA,120,125,125,107,58,55,1,sandy system,Capitanian,Guadalupian,Permian,Paleozoic,264.28,259.51,icehouse
164,"core,outcrop",NA,120,125,125,107,58,55,1,sandy system,Capitanian,Guadalupian,Permian,Paleozoic,264.28,259.51,icehouse
274,core,NA,124,125,125,112,125,125,1,sandy system,(Lopingian),Lopingian,Permian,Paleozoic,259.51,251.9,greenhouse
275,core,NA,124,125,125,112,125,125,1,sandy system,(Lopingian),Lopingian,Permian,Paleozoic,259.51,251.9,greenhouse
276,core,NA,124,125,125,112,125,125,1,sandy system,(Lopingian),Lopingian,Permian,Paleozoic,259.51,251.9,greenhouse
277,"core,outcrop","type,grain size,general structures,laminations",124,125,125,112,125,125,1,sandy system,(Lopingian),Lopingian,Permian,Paleozoic,259.51,251.9,greenhouse
278,core,NA,124,125,125,112,125,125,1,sandy system,(Lopingian),Lopingian,Permian,Paleozoic,259.51,251.9,greenhouse
279,core,NA,124,125,125,112,125,125,1,sandy system,(Lopingian),Lopingian,Permian,Paleozoic,259.51,251.9,greenhouse
280,core,NA,124,125,125,112,125,125,1,sandy system,(Lopingian),Lopingian,Permian,Paleozoic,259.51,251.9,greenhouse
281,core,NA,124,125,125,112,125,125,1,sandy system,(Lopingian),Lopingian,Permian,Paleozoic,259.51,251.9,greenhouse
282,core,NA,124,125,125,112,125,125,1,sandy system,(Lopingian),Lopingian,Permian,Paleozoic,259.51,251.9,greenhouse
283,outcrop,NA,124,125,125,112,125,125,1,sandy system,(Lopingian),Lopingian,Permian,Paleozoic,259.51,251.9,greenhouse
284,outcrop,NA,125,125,125,112,125,125,1,sandy system,(Lopingian),Lopingian,Permian,Paleozoic,259.51,251.9,greenhouse
285,outcrop,NA,125,125,125,112,125,125,1,sandy system,(Lopingian),Lopingian,Permian,Paleozoic,259.51,251.9,greenhouse
286,outcrop,NA,125,125,125,112,125,125,1,sandy system,(Lopingian),Lopingian,Permian,Paleozoic,259.51,251.9,greenhouse
287,outcrop,NA,125,125,125,112,125,125,1,sandy system,(Lopingian),Lopingian,Permian,Paleozoic,259.51,251.9,greenhouse
288,outcrop,NA,125,125,125,112,125,125,1,sandy system,(Lopingian),Lopingian,Permian,Paleozoic,259.51,251.9,greenhouse
289,outcrop,NA,125,125,125,112,125,125,1,sandy system,(Lopingian),Lopingian,Permian,Paleozoic,259.51,251.9,greenhouse
290,outcrop,NA,125,125,125,112,125,125,1,sandy system,(Lopingian),Lopingian,Permian,Paleozoic,259.51,251.9,greenhouse
291,outcrop,NA,125,125,125,112,125,125,1,sandy system,(Lopingian),Lopingian,Permian,Paleozoic,259.51,251.9,greenhouse
292,outcrop,NA,125,125,125,112,125,125,1,sandy system,(Lopingian),Lopingian,Permian,Paleozoic,259.51,251.9,greenhouse
293,outcrop,"type,grain size,general structures,laminations",126,125,125,112,125,125,1,sandy system,(Lopingian),Lopingian,Permian,Paleozoic,259.51,251.9,greenhouse
294,outcrop,"type,grain size,general structures,laminations",126,125,125,112,125,125,1,sandy system,(Lopingian),Lopingian,Permian,Paleozoic,259.51,251.9,greenhouse
295,"core,outcrop",type,126,125,125,112,125,125,1,sandy system,(Lopingian),Lopingian,Permian,Paleozoic,259.51,251.9,greenhouse
296,"core,outcrop",NA,126,125,125,112,125,125,1,sandy system,(Lopingian),Lopingian,Permian,Paleozoic,259.51,251.9,greenhouse
297,"core,outcrop",NA,126,125,125,112,125,125,1,sandy system,(Lopingian),Lopingian,Permian,Paleozoic,259.51,251.9,greenhouse
298,"core,outcrop","type,grain size,general structures,laminations",126,125,125,112,125,125,1,sandy system,(Lopingian),Lopingian,Permian,Paleozoic,259.51,251.9,greenhouse
299,"core,outcrop","type,grain size,general structures,laminations",126,125,125,112,125,125,1,sandy system,(Lopingian),Lopingian,Permian,Paleozoic,259.51,251.9,greenhouse
300,"core,outcrop","type,grain size,general structures,laminations",126,125,125,112,125,125,1,sandy system,(Lopingian),Lopingian,Permian,Paleozoic,259.51,251.9,greenhouse
301,outcrop,NA,127,125,125,112,125,125,1,sandy system,(Lopingian),Lopingian,Permian,Paleozoic,259.51,251.9,greenhouse
302,outcrop,NA,127,125,125,112,125,125,1,sandy system,(Lopingian),Lopingian,Permian,Paleozoic,259.51,251.9,greenhouse
303,outcrop,NA,127,125,125,112,125,125,1,sandy system,(Lopingian),Lopingian,Permian,Paleozoic,259.51,251.9,greenhouse
402,outcrop,"type,grain size,general structures,laminations",200,58,55,107,58,55,1,sandy system,Capitanian,Guadalupian,Permian,Paleozoic,264.28,259.51,icehouse
403,"core,outcrop","type,grain size,general structures,laminations",200,58,55,107,58,55,1,sandy system,Capitanian,Guadalupian,Permian,Paleozoic,264.28,259.51,icehouse
404,outcrop,NA,201,125,125,112,125,125,1,sandy system,(Lopingian),Lopingian,Permian,Paleozoic,259.51,251.9,greenhouse
405,outcrop,NA,201,125,125,112,125,125,1,sandy system,(Lopingian),Lopingian,Permian,Paleozoic,259.51,251.9,greenhouse
406,outcrop,"type,grain size,general structures,laminations",201,125,125,112,125,125,1,sandy system,(Lopingian),Lopingian,Permian,Paleozoic,259.51,251.9,greenhouse
407,outcrop,NA,201,125,125,112,125,125,1,sandy system,(Lopingian),Lopingian,Permian,Paleozoic,259.51,251.9,greenhouse
408,outcrop,NA,201,125,125,112,125,125,1,sandy system,(Lopingian),Lopingian,Permian,Paleozoic,259.51,251.9,greenhouse
487,outcrop,NA,206,16,15,210,17,15,0.971341,sandy system,Rupelian,Oligocene,Paleogene,Cenozoic,33.9,27.82,icehouse
488,outcrop,NA,206,16,15,210,17,15,0.971341,sandy system,Rupelian,Oligocene,Paleogene,Cenozoic,33.9,27.82,icehouse
489,outcrop,NA,207,16,16,210,17,15,0.971341,sandy system,Rupelian,Oligocene,Paleogene,Cenozoic,33.9,27.82,icehouse
492,high resolution 3D seismic,NA,209,113,112,14,115,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse
493,high resolution 3D seismic,NA,209,113,112,14,115,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse
494,high resolution 3D seismic,NA,210,113,111,14,115,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse
495,high resolution 3D seismic,NA,210,113,111,14,115,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse
1291,outcrop,"type,grain size,general structures,laminations",393,13,12,224,13,12,0.9134698,gravelly-sand system,Burdigalian,Miocene,Neogene,Cenozoic,20.44,15.97,icehouse
1294,outcrop,"type,grain size,general structures,laminations",396,87,85,227,87,85,1,sandy system,Katian,Upper Ordovician,Ordovician,Paleozoic,453,445.2,icehouse
1295,outcrop,"type,grain size",397,143,143,5,143,143,0.781029,gravelly-sand system,(Neo-proterozoic),-,-,Neo-proterozoic,1000,541,uncertain
1296,outcrop,"type,grain size,general structures,laminations",397,143,143,5,143,143,0.781029,gravelly-sand system,(Neo-proterozoic),-,-,Neo-proterozoic,1000,541,uncertain
1297,outcrop,"type,grain size,general structures,laminations",398,87,87,228,87,87,0.9419584,gravelly-sand system,Darriwilian,Middle Ordovician,Ordovician,Paleozoic,467.3,458.4,greenhouse
1298,outcrop,"type,grain size,general structures,laminations",399,81,81,1052,136,136,0.9650669,sandy system,(Upper Ordovician),Upper Ordovician,Ordovician,Paleozoic,458.4,443.8,greenhouse
1299,outcrop,"type,grain size,general structures,laminations",400,81,81,1052,136,136,0.9650669,sandy system,(Upper Ordovician),Upper Ordovician,Ordovician,Paleozoic,458.4,443.8,greenhouse
1301,outcrop,"type,grain size,general structures,laminations",402,81,76,230,81,76,0.8596585,gravelly-sand system,(Pridoli),Pridoli,Silurian,Paleozoic,423,419.2,icehouse
1302,outcrop,"type,grain size,general structures,laminations",402,81,76,230,81,76,0.8596585,gravelly-sand system,(Pridoli),Pridoli,Silurian,Paleozoic,423,419.2,icehouse
1303,outcrop,"type,grain size,general structures,laminations",402,81,76,230,81,76,0.8596585,gravelly-sand system,(Pridoli),Pridoli,Silurian,Paleozoic,423,419.2,icehouse
1304,outcrop,"type,grain size,general structures,laminations",402,81,76,230,81,76,0.8596585,gravelly-sand system,(Pridoli),Pridoli,Silurian,Paleozoic,423,419.2,icehouse
1305,outcrop,"type,grain size,general structures,laminations",402,81,76,230,81,76,0.8596585,gravelly-sand system,(Pridoli),Pridoli,Silurian,Paleozoic,423,419.2,icehouse
1306,outcrop,"type,grain size,general structures,laminations",402,81,76,230,81,76,0.8596585,gravelly-sand system,(Pridoli),Pridoli,Silurian,Paleozoic,423,419.2,icehouse
1307,outcrop,"type,grain size,general structures,laminations",402,81,76,230,81,76,0.8596585,gravelly-sand system,(Pridoli),Pridoli,Silurian,Paleozoic,423,419.2,icehouse
1308,outcrop,"type,grain size,general structures,laminations",402,81,76,230,81,76,0.8596585,gravelly-sand system,(Pridoli),Pridoli,Silurian,Paleozoic,423,419.2,icehouse
1309,outcrop,"type,grain size,general structures,laminations",403,88,87,231,88,87,1,sandy system,Darriwilian,Middle Ordovician,Ordovician,Paleozoic,467.3,458.4,greenhouse
1310,outcrop,"type,grain size,general structures,laminations",404,68,67,232,68,67,0.6468895,gravelly-sand system,Visean,Middle Mississippian,Carboniferous,Paleozoic,346.7,330.9,icehouse
1312,"wireline log,core","type,grain size,general structures,laminations",406,37,35,234,37,35,0.8729797,gravelly-sand system,Tithonian,Upper Jurassic,Jurassic,Mesozoic,152.1,145,greenhouse
1313,core,"type,grain size,general structures,laminations",407,37,35,235,37,35,0.6324705,gravelly-sand system,Tithonian,Upper Jurassic,Jurassic,Mesozoic,152.1,145,greenhouse
1314,outcrop,"type,grain size,general structures,laminations",408,115,115,236,115,115,1,sandy system,(Eocene),Eocene,Paleogene,Cenozoic,56,33.9,greenhouse
1315,outcrop,"type,grain size,general structures,laminations",409,24,23,237,24,23,0.994898,sandy system,Maastrichtian,Upper Cretaceous,Cretaceous,Mesozoic,72.1,66,greenhouse
1316,outcrop,"type,grain size,general structures,laminations",410,24,24,238,24,24,1,sandy system,Campanian,Upper Cretaceous,Cretaceous,Mesozoic,83.6,72.1,greenhouse
1317,outcrop,"type,grain size,general structures,laminations",411,115,115,239,115,115,0.7845041,gravelly-sand system,(Eocene),Eocene,Paleogene,Cenozoic,56,33.9,greenhouse
