element_ID,element_general_type,element_length,element_length_type,element_width,element_width_type,element_thickness,element_thickness_type
2,terminal deposit,7150,true (maximum),4800,true (maximum),20,true (maximum)
3,terminal deposit,20240,true (maximum),12650,true (maximum),60,true (maximum)
42,channel,NA,true (maximum),350,true (not maximum),50,true (maximum)
50,levee,1000,true (maximum),446,apparent,NA,NA
52,channel,NA,true (maximum),1320,true (maximum),48,true (maximum)
54,levee,13000,apparent,NA,NA,55,true (maximum)
67,terminal deposit,6000,true (maximum),3100,true (maximum),15,true (maximum)
68,terminal deposit,8000,true (maximum),3550,true (maximum),19,true (maximum)
76,terminal deposit,14111,true (maximum),7663,true (maximum),27,true (maximum)
273,levee,NA,NA,NA,NA,NA,NA
279,channel,NA,NA,275,partial observed,NA,NA
280,channel,350,unlimited observed,320,partial eroded,4.5,true (maximum)
282,channel,NA,NA,325,apparent,NA,NA
283,channel,NA,NA,300,unlimited observed,NA,NA
284,channel,NA,NA,300,unlimited observed,NA,NA
286,channel,NA,NA,300,unlimited observed,NA,NA
287,channel,NA,NA,300,unlimited observed,NA,NA
424,channel,NA,NA,NA,NA,31,partial observed
428,channel,NA,NA,NA,NA,NA,NA
429,channel,NA,NA,226,apparent,13.19999981,true (maximum)
430,channel,NA,NA,153,apparent,9.899999619,true (maximum)
432,channel,NA,NA,275,apparent,24,true (maximum)
433,channel,NA,NA,437,apparent,18,true (maximum)
449,channel,NA,NA,335.2999878,apparent,7.800000191,true (maximum)
450,channel,NA,NA,NA,NA,17,true (maximum)
451,channel,NA,NA,160,apparent,26.70000076,true (maximum)
454,channel,NA,NA,33.20000076,apparent,3,true (maximum)
460,channel,NA,NA,422.3999939,apparent,8.199999809,true (maximum)
682,levee,NA,NA,250,unlimited observed,5,true (maximum)
684,levee,NA,NA,250,unlimited observed,9,true (maximum)
746,channel,NA,partial observed,NA,NA,NA,NA
1228,terminal deposit,NA,NA,NA,NA,5.130000114,true (maximum)
1229,terminal deposit,NA,NA,NA,NA,13.32999992,true (maximum)
1230,terminal deposit,NA,NA,NA,NA,11.52999973,true (maximum)
1231,terminal deposit,NA,NA,NA,NA,10.52000046,true (maximum)
1232,terminal deposit,NA,NA,NA,NA,8.550000191,partial observed
1233,terminal deposit,NA,NA,NA,NA,6.860000134,true (maximum)
1234,terminal deposit,NA,NA,NA,NA,11.44999981,true (maximum)
1235,terminal deposit,NA,NA,NA,NA,14.92000008,true (maximum)
1236,terminal deposit,NA,NA,NA,NA,5.889999866,true (maximum)
1238,terminal deposit,NA,NA,NA,NA,4.090000153,partial observed
1239,terminal deposit,NA,NA,NA,NA,4.920000076,true (maximum)
1240,terminal deposit,NA,NA,NA,NA,11.59000015,true (maximum)
1241,terminal deposit,NA,NA,NA,NA,4.820000172,true (maximum)
1242,terminal deposit,NA,NA,NA,NA,11.64000034,partial observed
1271,channel,NA,NA,165,partial eroded,12,true (not maximum)
1273,channel,NA,NA,490,partial eroded,12.89999962,true (not maximum)
1274,channel,NA,NA,469,partial eroded,13.60000038,true (not maximum)
1277,channel,NA,NA,408,apparent,14.89999962,true (maximum)
1280,channel,NA,NA,100,partial eroded,8.800000191,true (maximum)
1281,channel,NA,NA,130,partial eroded,10,true (maximum)
1282,channel,NA,NA,91,partial eroded,9.100000381,true (maximum)
1285,channel,NA,NA,194,partial eroded,8.100000381,true (maximum)
1291,channel,NA,NA,122,partial eroded,12.80000019,true (maximum)
1294,channel,NA,NA,76,partial eroded,11.5,true (maximum)
1296,channel,NA,NA,157,apparent,14.30000019,true (maximum)
1297,channel,NA,NA,218,apparent,13.69999981,true (maximum)
1298,channel,NA,NA,388,apparent,22,true (maximum)
1299,channel,NA,NA,771,apparent,13,true (not maximum)
1303,channel,NA,NA,300,partial observed,28.29000092,partial observed
1307,channel,NA,NA,604,partial observed,13,true (maximum)
1310,channel,NA,NA,386,apparent,30,partial observed
1311,channel,NA,NA,385,unlimited eroded,19.5,partial observed
1324,channel,NA,NA,356,apparent,7,true (maximum)
1325,channel,NA,NA,365,apparent,12.25,true (maximum)
1326,channel,NA,NA,169,partial observed,6,true (not maximum)
1328,channel,NA,NA,207,partial observed,2.5,true (not maximum)
1329,channel,NA,NA,228,partial observed,5.5,true (not maximum)
1334,channel,NA,NA,359,partial eroded,15,partial observed
1339,channel,NA,NA,231,partial eroded,10,true (maximum)
1341,channel,NA,NA,694,partial eroded,9.100000381,partial eroded
1358,channel,NA,NA,170,partial eroded,9.5,partial eroded
1359,channel,NA,NA,122,partial observed,13.89999962,partial eroded
1360,channel,NA,NA,510,apparent,14.69999981,unlimited eroded
1390,channel,NA,NA,NA,NA,NA,NA
1391,channel,NA,NA,NA,NA,NA,NA
1392,channel,NA,NA,NA,NA,NA,NA
1393,channel,NA,NA,NA,NA,NA,NA
1397,terminal deposit,NA,NA,NA,NA,NA,NA
1398,terminal deposit,NA,NA,NA,NA,NA,NA
1399,terminal deposit,NA,NA,NA,NA,NA,NA
1400,terminal deposit,NA,NA,NA,NA,NA,NA
3228,terminal deposit,11000,unlimited observed,NA,NA,76,apparent
3231,terminal deposit,11000,unlimited observed,NA,NA,19.29999924,apparent
3233,terminal deposit,11000,unlimited observed,NA,NA,213,apparent
3281,terminal deposit,375,unlimited observed,NA,NA,0.25999999,apparent
3282,terminal deposit,375,unlimited observed,NA,NA,0.219999999,apparent
3283,terminal deposit,375,unlimited observed,NA,NA,0.119999997,apparent
3284,terminal deposit,375,unlimited observed,NA,NA,0.200000003,apparent
3285,terminal deposit,375,unlimited observed,NA,NA,0.25999999,apparent
3286,terminal deposit,375,unlimited observed,NA,NA,0.159999996,apparent
3288,terminal deposit,375,unlimited observed,NA,NA,0.280000001,apparent
3290,terminal deposit,375,unlimited observed,NA,NA,0.270000011,apparent
3292,terminal deposit,375,unlimited observed,NA,NA,0.25,apparent
3293,terminal deposit,375,unlimited observed,NA,NA,0.170000002,apparent
3295,terminal deposit,375,unlimited observed,NA,NA,0.340000004,apparent
3297,terminal deposit,375,unlimited observed,NA,NA,0.810000002,apparent
3298,terminal deposit,375,unlimited observed,NA,NA,0.870000005,apparent
3299,terminal deposit,375,unlimited observed,NA,NA,0.119999997,apparent
3301,terminal deposit,375,unlimited observed,NA,NA,0.119999997,apparent
3302,terminal deposit,375,unlimited observed,NA,NA,0.090000004,apparent
3304,terminal deposit,375,unlimited observed,NA,NA,0.360000014,apparent
3305,terminal deposit,375,unlimited observed,NA,NA,0.25999999,apparent
3306,terminal deposit,375,unlimited observed,NA,NA,0.090000004,apparent
3308,terminal deposit,375,unlimited observed,NA,NA,0.129999995,apparent
3310,terminal deposit,375,unlimited observed,NA,NA,0.119999997,apparent
3312,terminal deposit,375,unlimited observed,NA,NA,0.289999992,apparent
3314,terminal deposit,375,unlimited observed,NA,NA,0.07,apparent
3316,terminal deposit,375,unlimited observed,NA,NA,3.25,apparent
3318,terminal deposit,243,partial observed,NA,NA,0.300000012,apparent
3319,terminal deposit,243,partial observed,NA,NA,0.159999996,apparent
3321,terminal deposit,375,unlimited observed,NA,NA,0.150000006,apparent
3322,terminal deposit,375,unlimited observed,NA,NA,0.170000002,apparent
3323,terminal deposit,375,unlimited observed,NA,NA,0.109999999,apparent
3324,terminal deposit,375,unlimited observed,NA,NA,3.170000076,apparent
3325,terminal deposit,375,unlimited observed,NA,NA,0.150000006,apparent
3326,terminal deposit,375,unlimited observed,NA,NA,0.230000004,apparent
3327,terminal deposit,375,unlimited observed,NA,NA,0.330000013,apparent
3329,terminal deposit,61,partial observed,NA,NA,0.230000004,apparent
3330,terminal deposit,375,unlimited observed,NA,NA,1.120000005,apparent
3332,terminal deposit,375,unlimited observed,NA,NA,0.460000008,apparent
3334,terminal deposit,375,unlimited observed,NA,NA,0.479999989,apparent
3336,terminal deposit,375,unlimited observed,NA,NA,0.550000012,apparent
3338,terminal deposit,375,unlimited observed,NA,NA,0.239999995,apparent
3340,terminal deposit,375,unlimited observed,NA,NA,0.170000002,apparent
3450,terminal deposit,881.0200195,unlimited observed,NA,NA,7.099999905,apparent
3469,terminal deposit,364,unlimited observed,NA,NA,7.5,apparent
3472,terminal deposit,NA,NA,NA,NA,2.180000067,NA
3474,terminal deposit,NA,NA,NA,NA,1.00999999,NA
3476,terminal deposit,NA,NA,NA,NA,2.170000076,NA
3477,terminal deposit,NA,NA,NA,NA,1.480000019,NA
3481,terminal deposit,NA,NA,NA,NA,2.220000029,NA
3487,terminal deposit,NA,NA,NA,NA,2.069999933,NA
3492,terminal deposit,NA,NA,NA,NA,2.049999952,NA
3493,terminal deposit,NA,NA,NA,NA,3.779999971,NA
3496,terminal deposit,NA,NA,NA,NA,1.960000038,NA
3497,terminal deposit,NA,NA,NA,NA,4.179999828,NA
3499,terminal deposit,NA,NA,NA,NA,3.630000114,NA
3501,terminal deposit,NA,NA,NA,NA,9,unlimited observed
3502,terminal deposit,NA,NA,NA,NA,6,unlimited observed
3503,levee,224,unlimited observed,NA,NA,13.76000023,partial observed
3504,terminal deposit,117,unlimited observed,NA,NA,14.84000015,apparent
3505,channel,269,unlimited observed,NA,NA,9.470000267,apparent
3506,terminal deposit,110,unlimited observed,NA,NA,48,partial observed
3507,terminal deposit,NA,NA,NA,NA,1.100000024,unlimited observed
3550,terminal deposit,NA,NA,NA,NA,425,unlimited observed
3551,channel,NA,NA,NA,NA,6.610000134,apparent
3552,channel,NA,NA,NA,NA,2.910000086,apparent
3553,channel,NA,NA,NA,NA,2.789999962,apparent
3554,channel,NA,NA,NA,NA,7.929999828,apparent
3557,channel,NA,NA,NA,NA,7.489999771,apparent
3558,terminal deposit,NA,NA,NA,NA,297.0400085,unlimited observed
3561,channel,NA,NA,NA,NA,6.849999905,apparent
3565,channel,NA,NA,NA,NA,0.879999995,apparent
3567,channel,NA,NA,NA,NA,1,apparent
3571,channel,NA,NA,NA,NA,6.400000095,apparent
3573,terminal deposit,NA,NA,NA,NA,291.9599915,unlimited observed
4598,terminal deposit,NA,NA,NA,NA,26.52000046,unlimited observed
4599,terminal deposit,NA,NA,NA,NA,74.37000275,unlimited observed
4600,terminal deposit,NA,NA,NA,NA,77.73000336,unlimited observed
4601,terminal deposit,NA,NA,NA,NA,38.34000015,unlimited observed
4606,channel,NA,NA,NA,NA,26.37999916,unlimited observed
4607,terminal deposit,NA,NA,NA,NA,5.070000172,partial observed
4608,terminal deposit,NA,NA,NA,NA,1.629999995,apparent
4609,terminal deposit,NA,NA,NA,NA,3.849999905,apparent
4610,terminal deposit,NA,NA,NA,NA,2.970000029,partial observed
4611,terminal deposit,NA,NA,NA,NA,4.639999866,partial observed
4612,terminal deposit,NA,NA,NA,NA,3.849999905,apparent
4613,terminal deposit,NA,NA,NA,NA,5.860000134,apparent
4614,terminal deposit,NA,NA,NA,NA,1.879999995,partial observed
4615,terminal deposit,NA,NA,NA,NA,24.29000092,apparent
4616,terminal deposit,NA,NA,NA,NA,14.42000008,partial observed
4617,terminal deposit,NA,NA,NA,NA,26.67000008,partial observed
4618,terminal deposit,NA,NA,NA,NA,20.29999924,apparent
4619,terminal deposit,NA,NA,NA,NA,3.609999895,apparent
4620,terminal deposit,NA,NA,NA,NA,37,apparent
4621,levee,NA,NA,NA,NA,13.10000038,unlimited observed
4623,channel,NA,NA,NA,NA,4.710000038,unlimited observed
4625,terminal deposit,NA,NA,NA,NA,45,unlimited observed
10036,levee,NA,NA,2500,true (maximum),293.5599976,true (maximum)
10122,channel,NA,NA,110,partial observed,15,true (maximum)
10123,channel,NA,NA,58,unlimited observed,18,true (maximum)
10124,channel,NA,NA,180,true (maximum),30,true (maximum)
10125,channel,NA,NA,240,unlimited observed,11.5,true (maximum)
10126,channel,NA,NA,55,unlimited observed,4.5,true (maximum)
10137,channel,NA,NA,1500,partial observed,30,partial eroded
10241,channel,NA,NA,112.75,partial observed,8.960000038,true (maximum)
10247,channel,NA,NA,36,partial observed,1.279999971,artificial
10248,channel,NA,NA,35,partial observed,2.200000048,partial eroded
10249,channel,NA,NA,88,partial observed,2.299999952,partial eroded
10251,channel,NA,NA,116,unlimited observed,3.5,partial eroded
10253,channel,NA,NA,67,unlimited observed,2.799999952,partial eroded
10257,channel,NA,NA,85,partial eroded,4.699999809,partial eroded
10265,channel,NA,NA,115,partial eroded,2.799999952,partial eroded
10266,channel,NA,NA,127,partial observed,4.400000095,partial eroded
10267,channel,NA,NA,110,partial observed,4,partial eroded
10268,channel,NA,NA,41,partial observed,1.5,partial eroded
10273,levee,NA,NA,102.4899979,partial observed,2.00999999,artificial
10274,levee,NA,NA,46.49000168,unlimited observed,0.660000026,artificial
10278,levee,NA,NA,76.02999878,partial observed,4.449999809,artificial
10280,levee,NA,NA,74.87000275,unlimited observed,4.78000021,artificial
10302,levee,NA,NA,34.25999832,partial observed,0.930000007,artificial
10307,levee,NA,NA,78.19000244,unlimited observed,6.619999886,artificial
10318,channel,6000,unlimited observed,1000,true (maximum),40,true (maximum)
10319,channel,6000,unlimited observed,1250,true (maximum),120,true (maximum)
11612,levee,400,unlimited observed,NA,NA,30,true (maximum)
12203,channel,NA,NA,129,partial eroded,12,partial observed
12205,channel,NA,NA,101,unlimited observed,11,partial observed
12208,channel,NA,NA,105,unlimited observed,14,partial observed
12209,channel,NA,NA,119,unlimited observed,12.19999981,partial eroded
12210,channel,NA,NA,22.45999908,partial observed,0.970000029,true (maximum)
12211,channel,NA,NA,31.85000038,unlimited observed,2.410000086,true (maximum)
12212,channel,NA,NA,32.13000107,unlimited observed,2.559999943,partial observed
12217,channel,NA,NA,50,unlimited observed,1.940000057,true (maximum)
12218,channel,NA,NA,50,unlimited observed,4.369999886,true (maximum)
12219,channel,NA,NA,50,unlimited observed,1.659999967,true (maximum)
12220,channel,NA,NA,50,unlimited observed,1.730000019,partial observed
12291,terminal deposit,863.5999756,unlimited observed,1674.469971,apparent,3.200000048,true (maximum)
12292,terminal deposit,1816.02002,unlimited observed,635.6599731,apparent,2.75,true (not maximum)
12293,terminal deposit,NA,NA,70,partial eroded,3.5,partial eroded
12295,channel,NA,unlimited observed,85,true (maximum),4.25,partial eroded
12296,channel,NA,unlimited observed,160,apparent,12.5,partial observed
12303,terminal deposit,2389.76001,unlimited observed,2436.330078,unlimited observed,14,true (maximum)
12305,terminal deposit,2389.76001,unlimited observed,2436.330078,unlimited observed,5.159999847,true (not maximum)
12306,terminal deposit,2389.76001,unlimited observed,2436.330078,unlimited observed,12,true (maximum)
12307,terminal deposit,2389.76001,unlimited observed,1200,unlimited observed,7.199999809,true (maximum)
12470,terminal deposit,NA,NA,1654.02002,unlimited observed,1.590000033,partial observed
12478,terminal deposit,NA,NA,1654.02002,unlimited observed,6.519999981,true (maximum)
12481,channel,2000,NA,97.76000214,unlimited eroded,15.60999966,partial eroded
12482,channel,8500,NA,267.5799866,unlimited eroded,8.600000381,partial eroded
12483,channel,10000,NA,470.1700134,unlimited eroded,14.56999969,partial eroded
12484,channel,10000,NA,352.2399902,unlimited eroded,12.02999973,partial eroded
12485,channel,NA,NA,196.3800049,unlimited eroded,10.19999981,partial eroded
12486,channel,5000,NA,351.3800049,apparent,16.54000092,true (maximum)
12487,channel,NA,NA,183.2200012,unlimited eroded,4.539999962,partial eroded
12488,channel,NA,NA,53.16999817,unlimited observed,3.930000067,partial eroded
12489,channel,NA,NA,53.16999817,unlimited observed,4.019999981,partial eroded
12490,channel,NA,NA,80.55999756,unlimited eroded,7.349999905,partial eroded
12491,channel,NA,NA,42.47000122,unlimited observed,4.269999981,partial eroded
12492,channel,NA,NA,58.5,unlimited observed,3.049999952,partial eroded
12493,channel,NA,NA,92.36000061,unlimited eroded,6.25,partial eroded
12494,channel,NA,NA,45.59000015,unlimited eroded,1.590000033,partial eroded
12495,channel,NA,NA,23.93000031,unlimited observed,1.159999967,partial eroded
12496,channel,NA,NA,28.47999954,unlimited observed,2.160000086,partial eroded
12497,channel,NA,NA,45.16999817,unlimited observed,2.680000067,partial eroded
12498,channel,NA,NA,14.32999992,unlimited observed,1.74000001,partial eroded
12499,channel,NA,NA,23.09000015,unlimited observed,2.319999933,partial eroded
12502,channel,NA,NA,150.4199982,unlimited eroded,4.630000114,partial eroded
12503,channel,NA,NA,46.43000031,unlimited observed,1.279999971,partial eroded
12504,channel,NA,NA,75.08000183,unlimited observed,3.410000086,partial eroded
12505,channel,NA,NA,95.55999756,unlimited observed,5.670000076,partial eroded
12509,channel,NA,NA,90.33999634,unlimited observed,4.510000229,partial eroded
12510,channel,NA,NA,25.79000092,unlimited observed,3.809999943,partial eroded
12511,channel,NA,NA,91.08000183,unlimited observed,3.869999886,partial eroded
12512,channel,NA,NA,27.07999992,unlimited observed,1.919999957,partial eroded
12513,channel,NA,NA,71.62999725,unlimited eroded,3.410000086,partial eroded
12514,channel,NA,NA,18.37000084,unlimited eroded,0.980000019,partial eroded
12515,channel,NA,NA,23.68000031,unlimited eroded,2.440000057,partial eroded
12516,channel,NA,NA,156.3200073,unlimited observed,8.020000458,partial eroded
12517,channel,NA,NA,62.02000046,partial observed,5.269999981,partial eroded
12518,channel,NA,NA,66.56999969,partial observed,3.380000114,partial eroded
12522,levee,NA,NA,188.5099945,partial observed,5.079999924,true (not maximum)
12524,levee,NA,NA,177.4700012,unlimited observed,12.64000034,true (not maximum)
12526,channel,NA,NA,4.599999905,unlimited observed,0.579999983,partial eroded
12529,channel,NA,NA,96.91000366,unlimited observed,8.140000343,artificial
12530,channel,NA,NA,7.840000153,unlimited observed,2.930000067,artificial
12531,channel,NA,NA,259.5400085,unlimited observed,6.429999828,artificial
12532,channel,NA,NA,8.619999886,unlimited observed,9.970000267,artificial
12533,channel,NA,NA,104.8300018,unlimited observed,4.239999771,artificial
12534,channel,NA,NA,38.95999908,unlimited observed,5.559999943,artificial
12535,channel,NA,NA,4.130000114,unlimited observed,5.300000191,artificial
20001,levee,NA,NA,NA,NA,19.62999916,partial observed
20002,levee,NA,NA,600,unlimited observed,5,artificial
20005,channel,NA,NA,600,apparent,4.099999905,true (maximum)
20006,levee,NA,NA,600,unlimited observed,1.529999971,artificial
20008,levee,NA,NA,600,unlimited observed,3.049999952,artificial
20009,channel,NA,NA,291.25,apparent,1.120000005,true (maximum)
20010,levee,NA,NA,600,unlimited observed,4.409999847,artificial
20013,channel,NA,NA,262.4599915,apparent,3.140000105,true (maximum)
20014,levee,NA,NA,600,unlimited observed,3,artificial
20072,levee,NA,NA,350,unlimited observed,10.01000023,true (maximum)
20079,levee,NA,NA,NA,NA,73.19999695,partial eroded
20080,channel,NA,NA,NA,NA,2.299999952,partial observed
20087,terminal deposit,2921,unlimited observed,2387,true (maximum),1.399999976,true (maximum)
20088,terminal deposit,2293,unlimited observed,3053,unlimited observed,2.900000095,true (maximum)
20090,terminal deposit,2245,unlimited observed,2222,partial observed,0.800000012,true (maximum)
20091,terminal deposit,1942,partial eroded,965,partial eroded,0.899999976,true (maximum)
20093,terminal deposit,3190,unlimited observed,3187,unlimited observed,5.400000095,true (maximum)
20094,terminal deposit,2477,unlimited observed,3235,unlimited observed,1.899999976,true (maximum)
20096,terminal deposit,2292,unlimited observed,2488,partial observed,1.5,true (maximum)
20097,terminal deposit,2292,unlimited observed,3020,unlimited observed,3.700000048,true (maximum)
20102,terminal deposit,NA,NA,85.09999847,unlimited observed,6.400000095,partial observed
20103,terminal deposit,NA,NA,85.09999847,unlimited observed,1.299999952,true (maximum)
20104,terminal deposit,NA,NA,85.09999847,unlimited observed,5.300000191,true (maximum)
20105,terminal deposit,NA,NA,85.09999847,unlimited observed,4.099999905,partial observed
20106,terminal deposit,NA,NA,85.30000305,unlimited observed,11.19999981,partial observed
20107,channel,NA,NA,72.19999695,partial observed,6.599999905,true (maximum)
20108,channel,NA,NA,85.30000305,unlimited observed,1.399999976,true (not maximum)
20109,channel,NA,NA,63.09999847,partial observed,5.199999809,partial observed
20110,terminal deposit,NA,NA,200,true (maximum),20,true (maximum)
20111,terminal deposit,NA,NA,400,true (maximum),5.300000191,true (maximum)
20112,levee,2270,unlimited observed,776,true (maximum),1.399999976,true (maximum)
20139,levee,13600,unlimited observed,20000,unlimited observed,60,true (maximum)
22815,channel,NA,NA,NA,NA,12.17000008,apparent
22816,channel,NA,NA,NA,NA,6.619999886,apparent
22817,channel,NA,NA,NA,NA,7.949999809,apparent
22818,channel,NA,NA,NA,NA,14.09000015,apparent
22819,channel,NA,NA,NA,NA,11.11999989,apparent
22821,channel,NA,NA,NA,NA,10.72000027,apparent
22822,channel,NA,NA,NA,NA,4.889999866,apparent
22823,channel,NA,NA,NA,NA,8.579999924,apparent
22824,channel,NA,NA,NA,NA,9.090000153,apparent
22825,channel,NA,NA,NA,NA,20.85000038,partial observed
22826,channel,NA,NA,NA,NA,6.340000153,partial observed
22827,channel,NA,NA,NA,NA,9.130000114,apparent
22828,channel,NA,NA,NA,NA,11.23999977,apparent
22839,channel,NA,NA,NA,NA,10.53999996,apparent
22840,channel,NA,NA,NA,NA,4.21999979,apparent
22841,channel,NA,NA,NA,NA,16.36000061,apparent
22842,channel,NA,NA,NA,NA,9.289999962,partial observed
